player,player_id,team,position,age,rookie,war_mean_2021,war_mean_2022,war_mean_2023,war_mean_2024,war_mean_2025,5_year_WAR,2021_category
Kyle Anderson,anderky01,Grizzlies,SF,27.367556,,1.8,1.5,1.3,1.2,0.8,6.6,ROTATION PLAYER
Maxi Kleber,klebima01,Mavericks,PF,29.010267,,2.0,1.6,1.3,1.0,0.7,6.6,ROTATION PLAYER
Juancho Hernangomez,hernaju01,Timberwolves,PF,25.347023,,1.4,1.5,1.5,1.2,1.0,6.6,ROTATION PLAYER
Shabazz Napier,napiesh01,,PG,29.555099,,2.1,1.8,1.3,0.9,0.5,6.6,ROTATION PLAYER
Dwight Powell,poweldw01,Mavericks,C,29.538671,,1.6,1.6,1.5,1.1,0.7,6.5,ROTATION PLAYER
Saben Lee,leesa01,Pistons,PG,21.612593,1,0.4,1.1,1.5,1.6,1.9,6.5,OK PROSPECT
Dedric Lawson,lawsode01,,PF,22.335386,1,1.0,1.3,1.4,1.5,1.3,6.5,OK PROSPECT
Nikola Mirotic,mirotni01,,PF,29.973989,,2.1,1.6,1.3,0.9,0.6,6.5,ROTATION PLAYER
Zhaire Smith,smithzh01,Grizzlies,SF,21.664614,,0.8,1.1,1.5,1.2,1.8,6.4,ROTATION PLAYER
Kevin Porter Jr.,porteke02,Cavaliers,SG,20.747433,,0.3,0.9,1.4,2.0,1.8,6.4,PROJECT
Norman Powell,powelno01,Raptors,SG,27.690622,,1.9,1.6,1.2,1.1,0.6,6.4,ROTATION PLAYER
Chris Chiozza,chiozch01,Nets,PG,25.199179,,1.2,1.4,1.4,1.3,1.1,6.4,ROTATION PLAYER
Raul Neto,netora01,Wizards,PG,28.706366,,1.8,1.5,1.4,0.9,0.8,6.4,ROTATION PLAYER
Kerwin Roach,roachke01,,PG,23.27173,1,1.1,1.3,1.3,1.4,1.2,6.4,OK PROSPECT
Aaron Nesmith,nesmiaa01,Celtics,PF,21.297741,1,0.0,1.0,1.5,1.8,2.0,6.4,OK PROSPECT
Patty Mills,millspa02,Spurs,PG,32.476387,,2.6,1.7,1.1,0.6,0.3,6.3,ROTATION PLAYER
Mychal Mulder,muldemy01,Warriors,SG,26.642027,,1.6,1.2,1.3,1.1,0.9,6.2,ROTATION PLAYER
DeMarcus Cousins,couside01,Rockets,C,30.472279,,1.3,1.6,1.5,1.1,0.6,6.1,<SHRUGGIE>
Ty Jerome,jeromty01,Thunder,SG,23.570158,,0.8,1.2,1.3,1.4,1.3,6.1,ROTATION PLAYER
Bol Bol,bolbo01,Nuggets,C,21.212868,,0.0,0.8,1.3,2.4,1.7,6.1,PROJECT
Terry Rozier,roziete01,Hornets,PG,26.880219,,1.7,1.5,1.2,1.0,0.7,6.0,AVERAGE STARTER
Malachi Flynn,flynnma01,Raptors,PG,22.732374,1,0.4,1.1,1.4,1.4,1.6,6.0,OK PROSPECT
Bruno Caboclo,cabocbr01,Rockets,SF,25.366188,,1.1,1.3,1.4,1.1,1.0,6.0,ROTATION PLAYER
Darius Bazley,bazleda01,Thunder,PF,20.640657,,0.2,0.7,1.4,1.9,1.8,6.0,DEFENSIVE SPECIALIST
Denzel Valentine,valende01,Bulls,SG,27.211498,,1.5,1.4,1.1,1.1,0.9,6.0,ROTATION PLAYER
Ryan Arcidiacono,arcidry01,Bulls,PG,26.855577,,1.3,1.4,1.2,1.0,1.0,5.9,ROTATION PLAYER
Miye Oni,onimi01,Jazz,SG,23.496235,,1.0,1.1,1.2,1.3,1.2,5.9,ROTATION PLAYER
Enes Kanter,kanteen01,Trail Blazers,C,28.703629,,1.9,1.6,1.1,0.7,0.5,5.8,ROTATION PLAYER
Gordon Hayward,haywago01,Hornets,SF,30.863792,,2.4,1.6,1.0,0.6,0.3,5.8,ROTATION PLAYER
Matt Thomas,thomama02,Raptors,SG,26.49692,,1.3,1.2,1.1,1.1,1.1,5.7,ROTATION PLAYER
CJ Elleby,ellebcj01,Trail Blazers,SF,20.629705,1,0.2,0.8,1.2,1.6,1.9,5.7,OK PROSPECT
Jahmi'us Ramsey,ramseja01,Kings,PG,19.649555,1,-0.2,0.7,1.2,1.8,2.2,5.7,OK PROSPECT
Thomas Bryant,bryanth01,Wizards,C,23.507187,,1.1,1.2,1.3,1.3,0.8,5.7,ROTATION PLAYER
Saddiq Bey,beysa01,Pistons,PF,21.817932,1,0.2,0.9,1.3,1.6,1.7,5.7,OK PROSPECT
Tyrell Terry,terryty01,Mavericks,PG,20.344969,1,-0.1,0.7,1.2,1.7,2.1,5.6,OK PROSPECT
Aleksej Pokusevski,pokusal01,Thunder,PF,19.101984,1,-0.4,0.1,1.1,2.1,2.7,5.6,GREAT PROSPECT
Jaylen Hands,handsja01,,PG,20.969198,1,0.7,0.9,1.2,1.5,1.4,5.6,OK PROSPECT
Jaylen Nowell,nowelja01,Timberwolves,SG,21.568789,,0.7,1.0,1.2,1.3,1.3,5.6,ROTATION PLAYER
Goga Bitadze,bitadgo01,Pacers,C,21.538671,,0.4,0.9,1.2,1.6,1.4,5.5,DEFENSIVE SPECIALIST
Ky Bowman,bowmaky01,,PG,23.63039,,0.7,1.1,1.3,1.3,1.1,5.5,PROJECT
Precious Achiuwa,achiupr01,Heat,SF,21.371662,1,0.1,0.7,1.3,1.5,1.7,5.5,OK PROSPECT
Isaiah Hartenstein,harteis01,Nuggets,C,22.746065,,0.8,0.9,1.3,1.4,1.1,5.4,ROTATION PLAYER
Udoka Azubuike,azubuud01,Jazz,C,21.377138,1,0.2,0.8,1.4,1.5,1.6,5.4,OK PROSPECT
Timothe Luwawu-Cabarrot,luwawti01,Nets,SG,25.735798,,1.2,1.3,1.1,1.0,0.8,5.4,ROTATION PLAYER
Shake Milton,miltosh01,76ers,SG,24.350445,,1.0,1.1,1.1,1.1,1.1,5.4,ROTATION PLAYER
Jarron Cumberland,jarron-cumberland-1,,SG,22.360027,1,0.9,1.1,1.1,1.2,1.0,5.3,MARGINAL PROSPECT
Cory Joseph,josepco01,Kings,PG,29.453798,,1.8,1.6,1.0,0.6,0.4,5.3,ROTATION PLAYER
Obi Toppin,toppiob01,Knicks,PF,22.91581,1,0.1,0.9,1.3,1.4,1.5,5.2,OK PROSPECT
Trent Forrest,forretr01,Jazz,SG,22.642025,1,0.5,0.9,1.1,1.3,1.4,5.2,OK PROSPECT
Nate Hinton,hintona01,Mavericks,SG,21.653662,1,0.3,0.8,1.1,1.5,1.6,5.2,OK PROSPECT
Cody Zeller,zelleco01,Hornets,C,28.325804,,1.5,1.3,1.0,0.8,0.5,5.2,ROTATION PLAYER
Josh Reaves,reavejo02,,SG,24.66119,1,1.0,1.1,1.1,1.1,0.9,5.1,MARGINAL PROSPECT
TJ Leaf,leaftj01,Thunder,PF,23.759069,,0.7,1.2,1.1,1.2,1.0,5.1,ROTATION PLAYER
Hamidou Diallo,diallha01,Thunder,SG,22.507872,,0.9,1.0,1.1,1.1,1.0,5.1,ROTATION PLAYER
Gorgui Dieng,dienggo01,Grizzlies,C,31.039015,,1.8,1.4,0.9,0.5,0.3,5.1,ROTATION PLAYER
Tyler Bey,beyty01,Mavericks,PF,22.976044,1,0.4,0.8,1.2,1.3,1.4,5.1,OK PROSPECT
P.J. Tucker,tuckepj01,Rockets,PF,35.74538,,2.7,1.7,0.4,0.2,0.1,5.0,AVERAGE STARTER
John Konchar,konchjo01,Grizzlies,SG,24.86516,,1.5,1.3,1.1,0.7,0.5,5.0,<SHRUGGIE>
Seth Curry,curryse01,76ers,SG,30.444901,,2.0,1.3,0.9,0.5,0.3,5.0,ROTATION PLAYER
PJ Dozier,doziepj01,Nuggets,PG,24.271048,,0.8,0.9,1.1,1.1,1.0,5.0,ROTATION PLAYER
Amir Coffey,coffeam01,Clippers,SG,23.627653,,0.7,1.0,1.1,1.2,1.1,5.0,ROTATION PLAYER
Adam Mokoka,mokokad01,Bulls,SG,22.543463,,0.9,1.0,1.0,1.2,0.8,4.9,ROTATION PLAYER
Dakota Mathias,mathida01,76ers,SG,23.561943,1,0.7,0.8,1.3,0.8,1.2,4.9,OK PROSPECT
Stanley Johnson,johnsst04,Raptors,SF,24.678988,,1.0,1.0,1.1,0.9,0.8,4.8,ROTATION PLAYER
Goran Dragic,dragigo01,Heat,PG,34.743328,,2.5,1.3,0.6,0.3,0.1,4.8,ROTATION PLAYER
Kadeem Allen,allenka01,,PG,28.046543,,1.2,1.1,1.0,0.9,0.5,4.8,ROTATION PLAYER
Marquese Chriss,chrisma01,Warriors,PF,23.586584,,0.9,1.0,1.0,1.1,0.8,4.8,PROJECT
Alen Smailagic,smailal01,Warriors,C,20.457222,,-0.1,0.4,0.9,1.9,1.7,4.8,PROJECT
Isaiah Joe,joeis01,76ers,SG,21.587952,1,0.1,0.7,1.0,1.4,1.5,4.8,OK PROSPECT
Alec Burks,burksal01,Knicks,SG,29.538671,,1.5,1.3,0.9,0.6,0.4,4.8,ROTATION PLAYER
Vanja Marinkovic,marinva01,,SG,24.062971,1,0.4,0.6,0.9,1.6,1.3,4.8,OK PROSPECT
